__time,/RMSE/data
1669053055.896273,0.001694
1669053056.096311,0.001581
1669053056.296346,0.001581
1669053056.496219,0.001581
1669053056.696183,0.001581
1669053056.896180,0.001581
1669053057.096165,0.001581
1669053057.296170,0.001828
1669053057.496172,0.003177
1669053057.696193,0.003177
1669053057.896412,0.003177
1669053058.096326,0.003177
1669053058.296430,0.003177
1669053058.496196,0.019960
1669053058.696218,0.019960
1669053058.896193,0.025500
1669053059.096230,0.026179
1669053059.296198,0.027833
1669053059.496185,0.027833
1669053059.696242,0.014015
1669053059.896216,0.016279
1669053060.096236,0.016279
1669053060.296170,0.016279
1669053060.496301,0.016279
1669053060.696186,0.016510
1669053060.896209,0.015033
1669053061.096195,0.015054
1669053061.296177,0.017351
1669053061.496169,0.017351
1669053061.696198,0.017351
1669053061.896380,0.017351
1669053062.096316,0.017351
1669053062.296217,0.018158
1669053062.496194,0.018522
1669053062.696227,0.018522
1669053062.896246,0.018522
1669053063.096224,0.017289
1669053063.296197,0.017721
1669053063.496193,0.017721
1669053063.696174,0.017721
1669053063.896217,0.019866
1669053064.096189,0.020463
1669053064.296192,0.022976
1669053064.496181,0.028767
1669053064.696210,0.026690
1669053064.896164,0.024628
1669053065.096179,0.029121
1669053065.296163,0.028469
1669053065.496203,0.028469
1669053065.696336,0.028469
1669053065.896371,0.028469
1669053066.096251,0.028469
1669053066.296207,0.031145
1669053066.496184,0.031145
1669053066.696212,0.031145
1669053066.896177,0.031145
1669053067.096170,0.034510
1669053067.296164,0.034510
1669053067.496165,0.039041
1669053067.696186,0.039041
1669053067.896180,0.039041
1669053068.096175,0.039041
1669053068.296177,0.039041
1669053068.496172,0.039041
1669053068.696169,0.039234
1669053068.896161,0.039234
1669053069.096201,0.039234
1669053069.296229,0.039234
1669053069.496380,0.039234
1669053069.696360,0.039234
1669053069.896233,0.073361
1669053070.096285,0.073361
1669053070.296258,0.073653
1669053070.496222,0.073653
1669053070.696176,0.073653
1669053070.896200,0.073653
1669053071.096232,0.068710
1669053071.296296,0.068710
1669053071.496171,0.074005
1669053071.696171,0.074005
1669053071.896137,0.074005
1669053072.096163,0.074005
1669053072.296167,0.074005
1669053072.496158,0.064741
1669053072.696181,0.076076
1669053072.896161,0.076076
1669053073.096169,0.078851
1669053073.296413,0.078851
1669053073.496354,0.078851
1669053073.696221,0.078851
1669053073.896236,0.078851
1669053074.096245,0.078851
1669053074.296214,0.080550
1669053074.496204,0.075487
1669053074.696190,0.075487
1669053074.896230,0.075487
1669053075.096177,0.075487
1669053075.296212,0.075487
1669053075.496181,0.079590
1669053075.696326,0.076192
1669053075.896194,0.075097
1669053076.096204,0.080395
1669053076.296185,0.081558
1669053076.496171,0.081558
1669053076.696168,0.081558
1669053076.896174,0.085659
1669053077.096410,0.088652
1669053077.296425,0.085811
1669053077.496413,0.085811
1669053077.696221,0.088639
1669053077.896215,0.096242
